"DISTRICTE","CODI_ILLA","SECC_CENS","BARRI","NOM_DISTRICTE","NOM_BARRI","AEB","HABITANTS","NUM_PARC","NUM_LOCALS","NUM_VIVENDES","NUM_PARKINGS","NUM_ALTRES","SUP_CONS","SUP_SOBRE_RASANT","SUP_SOTA_RASANT","SUP_LOCALS","SUP_SERVEIS","SUP_SOL","DATA_DADES"
"01","05071","001","01","Ciutat Vella","el Raval","001","0","4","96","1","3","89","202635","94173","108462","","","114001","02/12/2022 00:02:16"
"01","06041","036","03","Ciutat Vella","la Barceloneta","014","0","1","0","0","0","0","0","0","0","","","8360","02/12/2022 00:02:16"
"01","06044","036","03","Ciutat Vella","la Barceloneta","014","0","1","0","0","0","0","0","0","0","","","4843","02/12/2022 00:02:16"
"01","06054","036","03","Ciutat Vella","la Barceloneta","014","0","3","3","0","0","3","3711","0","3711","","","62393","02/12/2022 00:02:16"
"01","06055","036","03","Ciutat Vella","la Barceloneta","014","0","4","697","60","563","74","94256","55392","38864","","","13401","02/12/2022 00:02:16"
"01","06057","043","04","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","016","0","2","0","0","0","0","0","0","0","","","5932","02/12/2022 00:02:16"
"01","06058","036","03","Ciutat Vella","la Barceloneta","014","0","3","51","44","1","6","18534","12632","5902","","","7289","02/12/2022 00:02:16"
"01","06059","036","03","Ciutat Vella","la Barceloneta","014","0","2","22","0","1","21","35258","24663","10595","","","7193","02/12/2022 00:02:16"
"01","10026","032","03","Ciutat Vella","la Barceloneta","013","0","17","325","112","14","199","241016","171338","69678","","","452992","02/12/2022 00:02:16"
"01","10030","032","03","Ciutat Vella","la Barceloneta","013","0","6","90","78","0","12","7603","7603","0","","","17348","02/12/2022 00:02:16"
"01","10040","032","03","Ciutat Vella","la Barceloneta","013","0","1","0","0","0","0","0","0","0","","","11372","02/12/2022 00:02:16"
"01","10050","032","03","Ciutat Vella","la Barceloneta","013","0","1","1","0","0","1","71","71","0","","","71","02/12/2022 00:02:16"
"01","10060","032","03","Ciutat Vella","la Barceloneta","013","0","2","10","4","0","3","1117","1117","0","","","217","02/12/2022 00:02:16"
"01","10070","032","03","Ciutat Vella","la Barceloneta","013","0","5","42","21","0","5","1854","1782","72","","","410","02/12/2022 00:02:16"
"01","10080","032","03","Ciutat Vella","la Barceloneta","013","0","8","53","26","0","2","2036","1895","141","","","551","02/12/2022 00:02:16"
"01","10090","032","03","Ciutat Vella","la Barceloneta","013","0","5","46","37","0","9","4337","4337","0","","","780","02/12/2022 00:02:16"
"01","10100","032","03","Ciutat Vella","la Barceloneta","013","0","9","95","89","0","1","3716","3716","0","","","780","02/12/2022 00:02:16"
"01","10110","032","03","Ciutat Vella","la Barceloneta","013","0","7","112","110","0","0","4283","4283","0","","","795","02/12/2022 00:02:16"
"01","10120","032","03","Ciutat Vella","la Barceloneta","013","0","7","99","59","0","20","8546","7497","1049","","","1376","02/12/2022 00:02:16"
"01","10130","032","03","Ciutat Vella","la Barceloneta","013","0","5","54","32","0","17","5733","5169","564","","","1130","02/12/2022 00:02:16"
"01","10140","032","03","Ciutat Vella","la Barceloneta","013","0","5","75","27","1","8","4090","3876","214","","","650","02/12/2022 00:02:16"
"01","10150","032","03","Ciutat Vella","la Barceloneta","013","0","9","86","59","0","6","3603","3353","250","","","647","02/12/2022 00:02:16"
"01","10160","032","03","Ciutat Vella","la Barceloneta","013","0","10","87","64","0","6","3504","3504","0","","","640","02/12/2022 00:02:16"
"01","10170","032","03","Ciutat Vella","la Barceloneta","013","0","9","80","36","0","10","3116","3116","0","","","650","02/12/2022 00:02:16"
"01","10180","032","03","Ciutat Vella","la Barceloneta","013","0","6","67","61","0","6","2765","2737","28","","","655","02/12/2022 00:02:16"
"01","10190","032","03","Ciutat Vella","la Barceloneta","013","0","8","72","32","0","6","3359","3228","131","","","657","02/12/2022 00:02:16"
"01","10200","032","03","Ciutat Vella","la Barceloneta","013","0","8","81","44","0","8","3260","3129","131","","","656","02/12/2022 00:02:16"
"01","10210","032","03","Ciutat Vella","la Barceloneta","013","0","6","78","44","0","5","3908","3638","270","","","652","02/12/2022 00:02:16"
"01","10220","032","03","Ciutat Vella","la Barceloneta","013","0","7","35","11","0","5","1922","1883","39","","","660","02/12/2022 00:02:16"
"01","10230","032","03","Ciutat Vella","la Barceloneta","013","0","5","26","13","0","2","1235","1235","0","","","427","02/12/2022 00:02:16"
"01","10240","032","03","Ciutat Vella","la Barceloneta","013","0","1","0","0","0","0","0","0","0","","","327","02/12/2022 00:02:16"
"01","10250","??","03","Ciutat Vella","la Barceloneta","??","0","11","55","49","0","6","3403","3403","0","","","13122","02/12/2022 00:02:16"
"01","10260","034","03","Ciutat Vella","la Barceloneta","013","0","7","68","54","0","3","3073","3073","0","","","689","02/12/2022 00:02:16"
"01","10271","034","03","Ciutat Vella","la Barceloneta","013","0","19","205","158","0","14","8442","8442","0","","","1643","02/12/2022 00:02:16"
"01","10290","034","03","Ciutat Vella","la Barceloneta","013","0","7","107","69","0","3","4367","4222","145","","","796","02/12/2022 00:02:16"
"01","10300","034","03","Ciutat Vella","la Barceloneta","013","0","9","107","93","0","3","4241","4241","0","","","806","02/12/2022 00:02:16"
"01","10310","034","03","Ciutat Vella","la Barceloneta","013","0","12","94","62","0","3","3771","3771","0","","","792","02/12/2022 00:02:16"
"01","10320","034","03","Ciutat Vella","la Barceloneta","013","0","13","108","61","0","8","4348","4348","0","","","819","02/12/2022 00:02:16"
"01","10331","033","03","Ciutat Vella","la Barceloneta","013","0","22","228","137","0","17","9480","9354","126","","","1674","02/12/2022 00:02:16"
"01","10350","033","03","Ciutat Vella","la Barceloneta","013","0","14","101","54","0","11","3928","3888","40","","","822","02/12/2022 00:02:16"
"01","10360","033","03","Ciutat Vella","la Barceloneta","013","0","7","95","79","0","6","4759","4656","103","","","852","02/12/2022 00:02:16"
"01","10371","033","03","Ciutat Vella","la Barceloneta","013","0","15","220","115","0","16","9924","9860","64","","","1700","02/12/2022 00:02:16"
"01","10390","033","03","Ciutat Vella","la Barceloneta","013","0","8","135","92","1","19","10643","9371","1272","","","1407","02/12/2022 00:02:16"
"01","10410","040","03","Ciutat Vella","la Barceloneta","015","0","6","103","81","3","18","7756","7251","505","","","1120","02/12/2022 00:02:16"
